Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,41.437500,44.875000,39.750000,44.312500,28.602909,24792500
2000-01-08,44.312500,44.500000,42.000000,44.000000,28.401178,14051300
2000-01-15,44.000000,48.125000,43.125000,45.687500,29.490440,30657000
2000-01-22,45.687500,46.875000,43.625000,44.625000,28.804600,17080700
2000-01-29,44.562500,45.187500,42.562500,44.000000,28.401178,14199400
2000-02-05,43.875000,43.875000,38.375000,39.875000,25.738567,20850500
2000-02-12,39.687500,39.687500,35.875000,36.000000,23.316954,18950600
2000-02-19,36.000000,39.937500,35.875000,37.812500,24.490896,16033600
2000-02-26,37.625000,37.625000,35.375000,35.937500,23.276476,17866700
2000-03-04,35.937500,36.187500,32.312500,32.375000,20.969057,18932700
2000-03-11,32.375000,38.937500,32.000000,38.000000,24.612331,32040000
2000-03-18,37.687500,37.687500,34.812500,36.000000,23.316954,23189300
2000-03-25,36.125000,38.937500,36.125000,37.812500,24.490896,18272600
2000-04-01,37.750000,38.250000,35.375000,35.687500,23.114546,15510800
2000-04-08,35.625000,38.375000,34.750000,35.375000,22.912142,15985500
2000-04-15,35.375000,40.250000,34.062500,40.062500,25.948208,21000400
2000-04-22,40.062500,41.250000,37.500000,39.687500,25.705322,26047900
2000-04-29,39.687500,40.187500,36.812500,39.500000,25.583874,14525600
2000-05-06,39.500000,39.500000,36.562500,37.187500,24.086081,15996500
2000-05-13,37.187500,37.875000,36.250000,36.937500,24.011902,13713000
2000-05-20,36.937500,39.000000,36.250000,38.250000,24.865114,15607700
2000-05-27,38.562500,40.562500,38.562500,39.875000,25.921478,10296200
2000-06-03,39.437500,40.187500,37.687500,39.187500,25.474564,13462300
2000-06-10,39.062500,41.000000,37.687500,39.250000,25.515186,18255600
2000-06-17,39.250000,40.125000,38.312500,39.875000,25.921478,13414800
2000-06-24,39.875000,42.250000,39.312500,41.812500,27.180990,17547600
2000-07-01,41.812500,44.062500,41.437500,43.750000,28.440491,14145200
2000-07-08,43.750000,45.125000,43.000000,44.437500,28.887413,15803000
2000-07-15,44.437500,47.312500,43.312500,46.812500,30.431347,27427700
2000-07-22,46.812500,50.250000,46.687500,48.812500,31.731453,27137200
2000-07-29,48.812500,49.937500,48.312500,49.000000,31.853350,17738300
2000-08-05,49.000000,49.937500,47.125000,49.625000,32.259644,15608800
2000-08-12,49.625000,49.875000,45.312500,45.687500,29.785879,20054200
2000-08-19,45.687500,54.500000,45.500000,54.125000,35.286682,34307200
2000-08-26,54.000000,56.250000,51.937500,54.750000,35.694172,21501300
2000-09-02,54.750000,59.937500,54.000000,58.125000,37.894463,29286200
2000-09-09,58.125000,60.125000,56.750000,56.875000,37.079556,24277900
2000-09-16,56.875000,64.312500,56.250000,63.500000,41.398697,26808100
2000-09-23,63.500000,66.937500,60.625000,64.500000,42.050648,31712800
2000-09-30,61.250000,63.000000,57.250000,61.000000,39.768822,26506300
2000-10-07,60.687500,61.250000,54.000000,58.750000,38.301956,21279100
2000-10-14,59.437500,61.500000,57.312500,60.000000,39.116879,20566600
2000-10-21,60.062500,63.937500,60.062500,63.750000,41.561684,22889600
2000-10-28,63.750000,67.875000,63.687500,66.062500,43.069313,22927800
2000-11-04,66.062500,66.375000,63.250000,63.500000,41.398697,13149200
2000-11-11,63.500000,66.812500,61.937500,65.375000,42.712826,16723700
2000-11-18,65.375000,69.500000,64.875000,65.687500,42.916992,13656300
2000-11-25,67.000000,70.000000,65.187500,65.812500,42.998680,21077400
2000-12-02,65.812500,70.937500,63.687500,69.937500,45.693745,23620500
2000-12-09,69.937500,70.625000,64.750000,64.875000,42.386150,19045900
2000-12-16,66.000000,69.937500,61.437500,63.437500,41.446964,21456200
2000-12-23,63.437500,67.000000,62.250000,66.000000,43.121193,10132600
2000-12-30,65.312500,65.312500,58.125000,58.750000,38.384377,18072600
2001-01-06,58.750000,60.875000,57.187500,60.625000,39.609409,17648400
2001-01-13,60.625000,62.687500,55.500000,55.687500,36.383495,20226600
2001-01-20,55.687500,59.687500,55.687500,58.062500,37.935215,17005600
2001-01-27,57.990002,58.910000,54.560001,56.849998,37.143009,15910600
2001-02-03,56.849998,58.459999,56.419998,57.340000,37.463154,11557400
2001-02-10,58.209999,61.939999,58.209999,59.990002,39.312340,17062600
2001-02-17,60.150002,62.799999,60.150002,61.610001,40.373940,10478700
2001-02-24,61.610001,63.900002,58.299999,60.099998,39.384434,15923000
2001-03-03,60.099998,65.599998,59.880001,65.500000,42.923138,16022800
2001-03-10,64.320000,64.320000,52.849998,53.750000,35.223179,31643800
2001-03-17,53.750000,57.189999,49.700001,53.000000,34.731689,25648600
2001-03-24,53.549999,57.270000,53.549999,55.709999,36.507584,17833600
2001-03-31,55.709999,57.500000,53.919998,55.980000,36.684528,14965100
2001-04-07,56.000000,61.000000,56.000000,60.500000,39.646549,12624200
2001-04-14,60.500000,64.910004,59.000000,61.700001,40.432938,18385400
2001-04-21,61.279999,62.130001,59.610001,61.610001,40.373940,15820800
2001-04-28,61.799999,65.000000,61.799999,64.500000,42.267815,15795400
2001-05-05,64.500000,66.430000,64.000000,66.010002,43.257355,11488700
2001-05-12,66.010002,69.849998,65.440002,68.349998,44.908897,17480800
2001-05-19,68.349998,68.949997,62.900002,63.330002,41.610550,15496200
2001-05-26,63.330002,65.570000,62.330002,65.000000,42.707806,11423600
2001-06-02,65.000000,67.550003,64.099998,64.589996,42.438427,13771100
2001-06-09,64.589996,66.489998,63.320000,64.250000,42.215019,16606400
2001-06-16,64.410004,64.989998,55.400002,57.000000,37.451462,28693800
2001-06-23,57.000000,58.380001,55.580002,55.599998,36.531586,22021100
2001-06-30,56.299999,57.220001,53.770000,54.299999,35.677441,12788700
2001-07-07,54.020000,55.209999,52.549999,55.070000,36.183384,18468500
2001-07-14,55.070000,57.950001,54.080002,56.790001,37.313473,16516900
2001-07-21,56.790001,58.900002,55.189999,58.139999,38.200485,10816100
2001-07-28,58.639999,59.750000,57.119999,59.209999,38.903515,11766200
2001-08-04,59.000000,59.799999,55.880001,56.849998,37.352905,15933300
2001-08-11,56.549999,57.240002,53.400002,54.000000,35.480339,12473100
2001-08-18,53.750000,53.950001,51.779999,53.630001,35.344723,14732200
2001-08-25,53.910000,53.910000,50.169998,51.200001,33.743244,14205200
2001-09-01,49.750000,51.970001,44.790001,45.180000,29.775784,18660200
2001-09-08,44.900002,45.950001,43.459999,43.459999,28.642218,6618500
2001-09-15,35.650002,38.700001,27.600000,30.100000,19.837332,78781400
2001-09-22,30.090000,34.650002,30.090000,33.500000,22.078098,46477300
2001-09-29,33.500000,37.520000,32.049999,36.259998,23.897064,33015700
2001-10-06,36.200001,37.639999,34.900002,35.900002,23.659817,23612300
2001-10-13,35.599998,35.750000,32.509998,33.450001,22.045147,20535900
2001-10-20,33.799999,38.099998,33.540001,37.680000,24.832924,27836200
2001-10-27,35.880001,35.900002,32.310001,34.349998,22.638288,29190100
2001-11-03,35.000000,35.750000,32.799999,33.240002,21.906748,27342400
2001-11-10,33.000000,35.009998,31.580000,34.990002,23.060083,20000800
2001-11-17,35.009998,35.650002,34.340000,35.630001,23.601246,10390700
2001-11-24,36.000000,36.250000,33.950001,35.099998,23.250170,17639800
2001-12-01,35.099998,37.549999,34.029999,37.299999,24.707455,21714100
2001-12-08,37.320000,38.290001,36.000000,37.549999,24.873047,15941300
2001-12-15,37.349998,39.200001,36.270000,38.639999,25.595076,22058100
2001-12-22,38.540001,39.119999,38.160000,39.099998,25.899765,7686900
2001-12-29,39.189999,40.400002,37.849998,40.360001,26.734390,13427700
2002-01-05,41.000000,41.889999,38.599998,38.689999,25.628187,21053500
2002-01-12,38.689999,39.619999,37.650002,39.150002,25.932886,15649200
2002-01-19,39.700001,40.830002,38.000000,40.480000,26.813875,20440800
2002-01-26,40.720001,41.650002,39.049999,41.459999,27.463028,17014800
2002-02-02,41.549999,41.900002,40.500000,41.700001,27.622002,15834700
2002-02-09,41.900002,45.009998,41.720001,44.900002,29.865810,20890100
2002-02-16,44.099998,45.099998,42.549999,44.759998,29.772688,19934700
2002-02-23,44.750000,47.840000,43.900002,47.840000,31.821386,19772300
2002-03-02,48.000000,50.000000,47.410000,49.400002,32.859047,19239700
2002-03-09,49.400002,51.070000,46.410000,47.980000,31.914515,23917500
2002-03-16,48.270000,48.439999,46.119999,46.389999,30.856895,13952500
